Temps;PT100_1CH1;PT100_2CH1;PT100_3CH1;PT100_4CH1;SetpointCH1;StartCH1;StandbyCH1;HeaterCH1;Aero_fan_on_CH1;Valve_CH1_open%;Pinch_CH1;Air_CH1;M111_speed;M112_speed;M113_speed;Oxygen_CH1;Cold1_voltage;Door1;PT100_1CH2;PT100_2CH2;PT100_3CH2;PT100_4CH2;SetpointCH2;StartCH2;StandbyCH2;HeaterCH2;Aero_fan_on_CH2;Valve_CH2_open%;Pinch_CH2;Air_CH2;M121_speed;M122_speed;M123_speed;Oxygen_CH2;Cold2_voltage;Door2;PT100_1CH3;PT100_2CH3;PT100_3CH3;PT100_4CH3;SetpointCH3;StartCH3;StandbyCH3;HeaterCH3;Aero_fan_on_CH3;Valve_CH3_open%;Pinch_CH3;Air_CH3;M131_speed;M132_speed;M133_speed;Oxygen_CH3;Cold3_voltage;Door3;SV_110;Systempressure;Outside_T;Vessel_Level;DoorClosed;Running_hours;Running_minutes;Trip_hours;Trip_minutes;Boiler_on;Lin_voltage;Truck_voltage;Bat_separator;Alarm_list
2020/10/22 13:15:14;24,8;24,3;24,8;25,2;-23;1;0;0;0;100;0;0;860;895;0;20,5;24,6;0;25,2;24,5;25,3;25,4;-23;1;0;0;0;100;0;0;875;0;0;20,7;24,7;0;24,8;24,4;24,3;24,7;-23;1;0;0;0;100;0;0;845;900;0;20,8;24,4;0;0;0;2000,0;0;1;3;5;0;0;0;24,7;00,0;0;0
2020/10/22 13:15:44;24,6;24,4;24,7;25,2;-23;1;0;0;0;100;0;0;855;895;0;20,5;24,5;0;25,0;24,5;25,2;25,3;-23;1;0;0;0;100;0;0;880;0;0;20,7;24,7;0;24,6;24,5;24,6;24,9;-23;1;0;0;0;100;0;0;855;895;0;20,8;24,4;0;0;0;2000,0;0;1;3;5;0;1;0;24,6;00,0;0;0
2020/10/22 13:16:14;24,6;24,5;24,8;25,2;-23;1;0;0;0;0;0;0;920;960;0;20,5;24,3;0;24,9;24,6;25,2;25,3;-23;1;0;0;0;0;0;0;890;0;0;20,7;24,3;0;24,5;24,5;24,7;24,9;-23;1;0;0;0;0;0;0;855;900;0;20,8;23,7;0;0;0;2000,0;0;1;3;6;0;1;0;24,3;00,0;0;0
2020/10/22 13:16:44;25,1;25,3;25,1;25,5;-23;1;0;0;0;70;0;0;1375;1455;0;20,5;23,9;0;25,1;25,0;25,4;25,4;-23;1;0;0;0;40;0;0;1415;0;0;20,7;24,1;0;25,1;25,2;25,1;25,4;-23;1;0;0;0;70;0;0;1355;1475;0;20,8;23,8;0;1;3035;2000,0;0;1;3;6;0;2;0;24,2;00,0;0;0
2020/10/22 13:17:14;25,1;25,4;25,4;25,5;-23;1;0;0;0;70;0;0;1380;1455;0;20,5;24,0;0;25,2;25,3;25,5;25,5;-23;1;0;0;0;40;0;0;1420;0;0;20,7;24,2;0;25,2;25,1;25,3;25,5;-23;1;0;0;0;70;0;0;1360;1475;0;20,8;23,8;0;1;3039;2000,0;0;1;3;7;0;2;0;24,2;00,0;0;0
2020/10/22 13:17:44;25,0;25,5;25,4;25,5;-23;1;0;0;0;70;0;0;1380;1460;0;20,5;24,0;0;25,1;25,4;25,6;25,7;-23;1;0;0;0;40;0;0;1410;0;0;20,7;24,2;0;25,3;25,3;25,4;25,7;-23;1;0;0;0;70;0;0;1355;1475;0;20,8;23,8;0;1;3052;2000,0;0;1;3;7;0;3;0;24,2;00,0;0;0
2020/10/22 13:18:14;25,1;25,5;25,0;25,5;-23;1;0;0;0;70;0;0;1380;1460;0;20,5;24,0;0;25,2;25,4;25,5;25,5;-23;1;0;0;0;40;0;0;1415;0;0;20,7;24,1;0;25,3;25,6;25,4;25,7;-23;1;0;0;0;70;0;0;1360;1475;0;20,8;23,9;0;1;3050;2000,0;0;1;3;8;0;3;0;24,2;00,0;0;0
2020/10/22 13:18:44;25,1;25,1;23,2;25,0;-23;1;0;0;0;70;0;0;1380;1460;0;20,5;24,0;0;25,2;25,1;25,0;24,9;-23;1;0;0;0;40;0;0;1420;0;0;20,7;24,2;0;25,3;25,5;25,5;25,8;-23;1;0;0;0;70;0;0;1360;1480;0;20,8;23,8;0;1;2985;2000,0;0;1;3;8;0;4;0;24,2;00,0;0;0
2020/10/22 13:19:14;25,0;24,7;21,4;23,6;-23;1;0;0;0;70;0;0;1380;1455;0;20,5;24,1;0;25,0;25,0;24,1;23,9;-23;1;0;0;0;40;0;0;1415;0;0;20,7;24,2;0;25,2;25,7;25,5;25,9;-23;1;0;0;0;70;0;0;1360;1480;0;20,8;24,0;0;1;3069;2000,0;0;1;3;9;0;4;0;24,2;00,0;0;0
2020/10/22 13:19:44;24,8;24,0;20,1;22,0;-23;1;0;0;0;70;0;0;1380;1455;0;20,5;24,0;0;24,9;24,4;23,0;22,4;-23;1;0;0;0;40;0;0;1420;0;0;20,7;24,1;0;25,2;25,6;25,5;25,7;-23;1;0;0;0;70;0;0;1355;1475;0;20,8;23,8;0;1;3063;2000,0;0;1;3;9;0;5;0;24,2;00,0;0;0
2020/10/22 13:20:14;24,8;23,3;19,4;20,4;-23;1;0;0;0;70;0;0;1375;1455;0;20,5;24,0;0;24,7;23,8;21,9;21,4;-23;1;0;0;0;40;0;0;1420;0;0;20,7;24,2;0;25,0;25,4;24,7;24,8;-23;1;0;0;0;70;0;0;1355;1480;0;20,7;23,8;0;1;3069;2000,0;0;1;3;10;0;5;0;24,2;00,0;0;0
